Title;ID;Frame;Pearson;ObjPear;Spearman;ObjSp;Overlap;K1;K2;M1;M2;Inters;I1;I2;ICQ;CCFmin;CCFmax;ChR;ChG;ThR;ThG;SiR;SiG;ROI;Ref;Treatment;Feeding;Slide;Series
Negative Control;Green/Red;0;0.925;0.925;0.724;0.724;0.939;3.376;0.261;1;0.985;0.398;1;0.398;0.479;0.921;0.925;1;2;0.10634;0.00291;0;0;-;-;No Fluorophore;No Feed;1a bis;14
Negative Control;Blue/Green;0;0.867;0.825;0.757;0.797;0.889;0.118;6.708;0.933;0.995;0.519;0.547;0.91;0.459;0.791;0.872;0;1;10.273;0.46075;0;0;-;-;No Fluorophore;No Feed;1a bis;15
Negative Control;Blue/Red;0;0.85;0.85;0.586;0.586;0.878;0.402;1.918;1;0.984;0.652;1;0.652;0.45;0.772;0.851;0;2;6.5814;0.00042;0;0;-;-;No Fluorophore;No Feed;1a bis;15
Negative Control;Green/Red;0;0.884;0.884;0.728;0.728;0.903;3.195;0.255;1;0.97;0.332;1;0.332;0.475;0.765;0.884;1;2;0.17602;0.00042;0;0;-;-;No Fluorophore;No Feed;1a bis;15
Negative Control;Blue/Green;0;0.866;0.826;0.749;0.79;0.888;0.132;5.967;0.925;0.995;0.505;0.531;0.913;0.457;0.786;0.871;0;1;9.627;0.45271;0;0;-;-;No Fluorophore;No Feed;1a bis;16
Negative Control;Blue/Red;0;0.848;0.848;0.619;0.619;0.878;0.317;2.431;1;0.979;0.724;1;0.724;0.448;0.766;0.848;0;2;5.4318;0.00316;0;0;-;-;No Fluorophore;No Feed;1a bis;16
Negative Control;Green/Red;0;0.897;0.897;0.669;0.669;0.914;2.279;0.367;1;0.959;0.444;1;0.444;0.479;0.77;0.897;1;2;0.05048;0.00316;0;0;-;-;No Fluorophore;No Feed;1a bis;16
Negative Control;Blue/Green;0;0.902;0.902;0.589;0.589;0.924;0.101;8.46;0.999;1;0.997;0.997;1;0.45;0.594;0.907;0;1;0.01215;0.00015;0;0;-;-;No Fluorophore;No Feed;1a bis;17
Negative Control;Blue/Red;0;0.888;0.888;0.733;0.731;0.911;0.545;1.52;1;0.993;0.52;0.994;0.522;0.465;0.626;0.888;0;2;5.0146;0.00069;0;0;-;-;No Fluorophore;No Feed;1a bis;17
Negative Control;Green/Red;0;0.894;0.893;0.724;0.724;0.914;4.976;0.168;0.999;0.984;0.376;0.994;0.377;0.462;0.577;0.897;1;2;0.50897;0.00069;0;0;-;-;No Fluorophore;No Feed;1a bis;17
Negative Control;Blue/Green;0;0.897;0.897;0.59;0.59;0.92;0.112;7.577;0.999;1;0.997;0.997;1;0.451;0.591;0.902;0;1;0.00737;0.00016;0;0;-;-;No Fluorophore;No Feed;1a bis;18
Negative Control;Blue/Red;0;0.897;0.897;0.692;0.692;0.918;0.395;2.13;1;0.988;0.614;1;0.614;0.463;0.634;0.897;0;2;4.6499;0.00049;0;0;-;-;No Fluorophore;No Feed;1a bis;18
Negative Control;Green/Red;0;0.907;0.907;0.75;0.75;0.926;3.228;0.266;1;0.978;0.394;1;0.394;0.462;0.588;0.911;1;2;0.4022;0.00049;0;0;-;-;No Fluorophore;No Feed;1a bis;18
Negative Control;Blue/Green;0;0.867;0.788;0.788;0.814;0.884;0.138;5.651;0.944;0.995;0.59;0.622;0.921;0.467;0.391;0.886;0;1;16.118;1.179;0;0;-;-;No Fluorophore;No Feed;1a bis;19
Negative Control;Blue/Red;0;0.874;0.848;0.729;0.829;0.89;0.332;2.387;0.911;0.999;0.43;0.434;0.98;0.462;0.424;0.876;0;2;10.836;0.61668;0;0;-;-;No Fluorophore;No Feed;1a bis;19
Negative Control;Green/Red;0;0.892;0.892;0.735;0.736;0.906;2.204;0.372;1;0.993;0.29;1;0.29;0.483;0.427;0.898;1;2;0.30626;0.0003;0;0;-;-;No Fluorophore;No Feed;1a bis;19
Negative Control;Blue/Green;0;0.87;0.792;0.788;0.816;0.887;0.153;5.144;0.944;0.996;0.59;0.62;0.924;0.468;0.393;0.887;0;1;14.067;1.1664;0;0;-;-;No Fluorophore;No Feed;1a bis;20
Negative Control;Blue/Red;0;0.88;0.856;0.715;0.796;0.894;0.311;2.571;0.913;0.999;0.429;0.439;0.95;0.465;0.423;0.881;0;2;9.0689;0.58463;0;0;-;-;No Fluorophore;No Feed;1a bis;20
Negative Control;Green/Red;0;0.906;0.906;0.626;0.626;0.918;1.889;0.447;1;0.97;0.327;1;0.327;0.484;0.432;0.911;1;2;0.20476;0.00023;0;0;-;-;No Fluorophore;No Feed;1a bis;20
Negative Control;Blue/Green;0;0.825;0.825;0.595;0.595;0.852;0.097;7.461;0.992;1;0.921;0.921;1;0.445;0.678;0.879;0;1;0.00164;0.00012;0;0;-;-;No Fluorophore;No Feed;1a;5
Negative Control;Blue/Red;0;0.798;0.798;0.662;0.662;0.825;0.367;1.858;0.94;1;0.451;0.451;1;0.446;0.644;0.86;0;2;0.00164;0.07208;0;0;-;-;No Fluorophore;No Feed;1a;5
Negative Control;Green/Red;0;0.865;0.864;0.638;0.646;0.881;3.902;0.199;1;0.957;0.176;1;0.176;0.476;0.734;0.865;1;2;2.0128;0.00049;0;0;-;-;No Fluorophore;No Feed;1a;5
Negative Control;Blue/Green;0;0.822;0.822;0.583;0.583;0.85;0.108;6.706;1;1;1;1;1;0.443;0.677;0.877;0;1;0.00157;0.00012;0;0;-;-;No Fluorophore;No Feed;1a;6
Negative Control;Blue/Red;0;0.803;0.771;0.7;0.672;0.83;0.284;2.419;0.943;0.994;0.504;0.551;0.857;0.447;0.645;0.869;0;2;2.7861;0.63528;0;0;-;-;No Fluorophore;No Feed;1a;6
Negative Control;Green/Red;0;0.889;0.889;0.679;0.679;0.904;2.463;0.331;1;0.966;0.316;1;0.316;0.473;0.755;0.889;1;2;0.29792;0.00038;0;0;-;-;No Fluorophore;No Feed;1a;6
Negative Control;Blue/Green;0;0.855;0.855;0.607;0.607;0.876;0.116;6.623;0.965;1;0.586;0.586;1;0.454;0.572;0.919;0;1;0.0016;0.02448;0;0;-;-;No Fluorophore;No Feed;1a;7
Negative Control;Blue/Red;0;0.815;0.813;0.676;0.669;0.838;0.525;1.339;0.999;0.989;0.431;0.981;0.435;0.454;0.528;0.882;0;2;2.7927;0.00053;0;0;-;-;No Fluorophore;No Feed;1a;7
Negative Control;Green/Red;0;0.9;0.898;0.668;0.68;0.911;4.312;0.193;1;0.98;0.264;0.993;0.264;0.479;0.615;0.9;1;2;0.43108;0.00053;0;0;-;-;No Fluorophore;No Feed;1a;7
Negative Control;Blue/Green;0;0.852;0.836;0.674;0.66;0.872;0.122;6.231;0.951;0.996;0.448;0.474;0.889;0.453;0.564;0.916;0;1;1.5041;0.14914;0;0;-;-;No Fluorophore;No Feed;1a;8
Negative Control;Blue/Red;0;0.825;0.825;0.709;0.709;0.847;0.429;1.671;1;0.994;0.467;1;0.467;0.453;0.533;0.893;0;2;2.4063;0.00043;0;0;-;-;No Fluorophore;No Feed;1a;8
Negative Control;Green/Red;0;0.914;0.914;0.705;0.705;0.924;3.357;0.254;1;0.986;0.245;1;0.245;0.479;0.622;0.914;1;2;0.35212;0.00043;0;0;-;-;No Fluorophore;No Feed;1a;8
Negative Control;Blue/Green;0;0.829;0.829;0.637;0.637;0.854;0.096;7.623;0.969;1;0.568;0.568;1;0.45;0.441;0.909;0;1;0.00175;0.02338;0;0;-;-;No Fluorophore;No Feed;1a;9
Negative Control;Blue/Red;0;0.842;0.841;0.716;0.714;0.864;0.539;1.384;0.999;0.992;0.434;0.985;0.437;0.455;0.43;0.908;0;2;2.6471;0.00063;0;0;-;-;No Fluorophore;No Feed;1a;9
Negative Control;Green/Red;0;0.91;0.909;0.696;0.702;0.922;5.104;0.166;1;0.984;0.303;0.992;0.304;0.477;0.477;0.91;1;2;0.24366;0.00063;0;0;-;-;No Fluorophore;No Feed;1a;9
Negative Control;Blue/Green;0;0.831;0.831;0.616;0.616;0.856;0.101;7.236;0.997;1;0.962;0.962;1;0.448;0.441;0.908;0;1;0.00279;0.00012;0;0;-;-;No Fluorophore;No Feed;1a;10
Negative Control;Blue/Red;0;0.841;0.841;0.69;0.69;0.863;0.459;1.624;1;0.992;0.456;1;0.456;0.453;0.43;0.906;0;2;2.5103;0.00052;0;0;-;-;No Fluorophore;No Feed;1a;10
Negative Control;Green/Red;0;0.912;0.912;0.695;0.695;0.923;4.126;0.206;1;0.984;0.289;1;0.289;0.478;0.481;0.912;1;2;0.25256;0.00052;0;0;-;-;No Fluorophore;No Feed;1a;10
Negative Control;Blue/Green;0;0.839;0.839;0.457;0.457;0.854;0.085;8.59;0.996;1;0.969;0.969;1;0.457;0.441;0.908;0;1;0.00295;0.00007;0;0;-;-;No Fluorophore;No Feed;1a;11
Negative Control;Blue/Red;0;0.767;0.766;0.53;0.516;0.785;0.34;1.811;0.997;0.991;0.47;0.958;0.48;0.458;0.384;0.83;0;2;2.2137;0.00028;0;0;-;-;No Fluorophore;No Feed;1a;11
Negative Control;Green/Red;0;0.871;0.87;0.571;0.578;0.88;3.839;0.202;1;0.98;0.192;0.99;0.192;0.487;0.469;0.871;1;2;0.26876;0.00028;0;0;-;-;No Fluorophore;No Feed;1a;11
Negative Control;Blue/Green;0;0.837;0.817;0.576;0.528;0.851;0.092;7.852;0.945;0.99;0.384;0.428;0.786;0.46;0.439;0.907;0;1;2.0926;0.15739;0;0;-;-;No Fluorophore;No Feed;1a;12
Negative Control;Blue/Red;0;0.79;0.765;0.624;0.583;0.806;0.302;2.15;0.961;0.995;0.436;0.495;0.786;0.461;0.394;0.854;0;2;2.3206;0.2347;0;0;-;-;No Fluorophore;No Feed;1a;12
Negative Control;Green/Red;0;0.893;0.892;0.566;0.57;0.9;3.135;0.259;1;0.981;0.2;0.991;0.2;0.488;0.481;0.893;1;2;0.22586;0.00025;0;0;-;-;No Fluorophore;No Feed;1a;12
Negative Control;Blue/Green;0;0.844;0.844;0.536;0.536;0.862;0.101;7.335;0.96;1;0.657;0.657;1;0.453;0.448;0.912;0;1;0.00373;0.01955;0;0;-;-;No Fluorophore;No Feed;1a;13
Negative Control;Blue/Red;0;0.817;0.803;0.658;0.656;0.837;0.232;3.013;0.948;0.996;0.409;0.427;0.904;0.454;0.418;0.886;0;2;1.1364;0.19957;0;0;-;-;No Fluorophore;No Feed;1a;13
Negative Control;Green/Red;0;0.92;0.92;0.643;0.643;0.929;2.202;0.392;1;0.985;0.324;1;0.324;0.481;0.526;0.92;1;2;0.13053;0.0002;0;0;-;-;No Fluorophore;No Feed;1a;13
Negative Control;Blue/Green;0;0.842;0.822;0.641;0.621;0.859;0.114;6.465;0.938;0.993;0.428;0.464;0.846;0.452;0.444;0.909;0;1;2.1837;0.1783;0;0;-;-;No Fluorophore;No Feed;1a;14
Negative Control;Blue/Red;0;0.813;0.794;0.659;0.666;0.832;0.202;3.435;0.931;0.996;0.408;0.425;0.908;0.453;0.415;0.881;0;2;1.899;0.14557;0;0;-;-;No Fluorophore;No Feed;1a;14
Negative Control;Green/Red;0;0.923;0.923;0.676;0.676;0.93;1.708;0.507;1;0.991;0.288;1;0.288;0.482;0.519;0.923;1;2;0.14343;0.00017;0;0;-;-;No Fluorophore;No Feed;1a;14
Negative Control;Blue/Green;0;0.87;0.87;0.695;0.695;0.898;0.096;8.42;0.962;1;0.607;0.607;1;0.447;0.408;0.905;0;1;0.00867;0.05176;0;0;-;-;No Fluorophore;No Feed;1a;15
Negative Control;Blue/Red;0;0.9;0.9;0.76;0.76;0.919;0.52;1.625;1;0.997;0.529;1;0.529;0.457;0.432;0.917;0;2;2.7825;0.00049;0;0;-;-;No Fluorophore;No Feed;1a;15
Negative Control;Green/Red;0;0.899;0.899;0.806;0.806;0.918;4.861;0.173;1;0.993;0.398;1;0.398;0.466;0.451;0.9;1;2;0.35482;0.00049;0;0;-;-;No Fluorophore;No Feed;1a;15
Negative Control;Blue/Green;0;0.863;0.863;0.733;0.733;0.894;0.107;7.447;0.96;1;0.577;0.577;1;0.443;0.39;0.899;0;1;0.00913;0.0923;0;0;-;-;No Fluorophore;No Feed;1a;16
Negative Control;Blue/Red;0;0.893;0.893;0.774;0.774;0.916;0.379;2.216;1;0.995;0.635;1;0.635;0.455;0.414;0.912;0;2;1.8869;0.00035;0;0;-;-;No Fluorophore;No Feed;1a;16
Negative Control;Green/Red;0;0.906;0.906;0.818;0.818;0.925;3.187;0.268;1;0.989;0.435;1;0.435;0.467;0.435;0.907;1;2;0.34585;0.00035;0;0;-;-;No Fluorophore;No Feed;1a;16
Negative Control;Blue/Green;0;0.847;0.846;0.567;0.563;0.882;0.072;10.753;0.994;0.99;0.895;0.97;0.92;0.435;0.409;0.892;0;1;4.8751;0.00016;0;0;-;-;No Fluorophore;No Feed;1a;18
Negative Control;Blue/Red;0;0.866;0.866;0.645;0.643;0.89;0.324;2.442;0.999;0.996;0.59;0.99;0.593;0.451;0.414;0.901;0;2;10.945;0.00036;0;0;-;-;No Fluorophore;No Feed;1a;18
Negative Control;Green/Red;0;0.875;0.874;0.786;0.788;0.897;3.989;0.202;1;0.993;0.365;1;0.365;0.47;0.469;0.875;1;2;0.56984;0.00036;0;0;-;-;No Fluorophore;No Feed;1a;18
Negative Control;Blue/Green;0;0.853;0.853;0.536;0.536;0.883;0.078;9.963;1;1;1;1;1;0.432;0.425;0.896;0;1;0.16327;0.00016;0;0;-;-;No Fluorophore;No Feed;1a;19
Negative Control;Blue/Red;0;0.87;0.87;0.589;0.589;0.893;0.24;3.325;1;0.991;0.631;1;0.631;0.452;0.43;0.905;0;2;10.024;0.00027;0;0;-;-;No Fluorophore;No Feed;1a;19
Negative Control;Green/Red;0;0.891;0.891;0.783;0.783;0.909;2.619;0.316;1;0.987;0.371;1;0.371;0.469;0.48;0.891;1;2;0.49077;0.00027;0;0;-;-;No Fluorophore;No Feed;1a;19
Negative Control;Blue/Green;0;0.853;0.782;0.811;0.807;0.882;0.096;8.143;0.946;0.983;0.608;0.636;0.932;0.451;0.524;0.862;0;1;13.137;0.66077;0;0;-;-;No Fluorophore;No Feed;1a;20
Negative Control;Blue/Red;0;0.865;0.865;0.743;0.743;0.895;0.524;1.531;1;0.992;0.636;1;0.636;0.464;0.587;0.865;0;2;7.5737;0.00065;0;0;-;-;No Fluorophore;No Feed;1a;20
Negative Control;Green/Red;0;0.889;0.889;0.808;0.808;0.911;5.012;0.166;1;0.975;0.344;1;0.344;0.465;0.528;0.893;1;2;0.20734;0.00065;0;0;-;-;No Fluorophore;No Feed;1a;20
Negative Control;Blue/Green;0;0.861;0.861;0.683;0.683;0.886;0.102;7.719;1;1;1;1;1;0.446;0.545;0.87;0;1;0.02491;0.00017;0;0;-;-;No Fluorophore;No Feed;1a;21
Negative Control;Blue/Red;0;0.867;0.827;0.817;0.814;0.895;0;2;1;1;1;1;0.787;0.467;0.579;0.867;0;2;11.709;0.60774;0;0;-;-;No Fluorophore;No Feed;1a;21
Negative Control;Green/Red;0;0.9;0.9;0.824;0.825;0.92;3;0;1;0.973;0;1;0.363;0.468;0.53;0.904;1;2;0.13046;0.0005;0;0;-;-;No Fluorophore;No Feed;1a;21
Negative Control;Blue/Green;0;0.874;0.832;0.78;0.787;0.896;0.072;11.163;0.975;0.991;0.593;0.675;0.831;0.455;0.462;0.9;0;1;3.6646;0.25278;0;0;-;-;No Fluorophore;No Feed;1a;22
Negative Control;Blue/Red;0;0.912;0.912;0.748;0.748;0.928;0.383;2.249;1;0.997;0.518;1;0.518;0.466;0.509;0.922;0;2;2.3528;0.00054;0;0;-;-;No Fluorophore;No Feed;1a;22
Negative Control;Green/Red;0;0.899;0.899;0.716;0.716;0.916;4.739;0.177;1;0.987;0.342;1;0.342;0.467;0.483;0.9;1;2;0.22184;0.00054;0;0;-;-;No Fluorophore;No Feed;1a;22
Negative Control;Blue/Green;0;0.875;0.875;0.595;0.595;0.898;0.08;10.117;1;1;1;1;1;0.455;0.465;0.902;0;1;0.00182;0.00011;0;0;-;-;No Fluorophore;No Feed;1a;23
Negative Control;Blue/Red;0;0.907;0.907;0.71;0.707;0.924;0.273;3.134;1;0.992;0.673;0.998;0.673;0.466;0.502;0.918;0;2;1.4984;0.00038;0;0;-;-;No Fluorophore;No Feed;1a;23
Negative Control;Green/Red;0;0.902;0.902;0.721;0.722;0.919;3.058;0.276;1;0.977;0.365;1;0.365;0.469;0.48;0.904;1;2;0.16244;0.00038;0;0;-;-;No Fluorophore;No Feed;1a;23
Negative Control;Blue/Green;0;0.873;0.873;0.721;0.721;0.9;0.099;8.154;1;1;0.996;0.996;1;0.452;0.54;0.883;0;1;0.00206;0.00013;0;0;-;-;No Fluorophore;No Feed;1a;24
Negative Control;Blue/Red;0;0.896;0.896;0.823;0.823;0.918;0.45;1.872;1;0.991;0.665;1;0.665;0.458;0.589;0.897;0;2;2.0875;0.00056;0;0;-;-;No Fluorophore;No Feed;1a;24
Negative Control;Green/Red;0;0.885;0.885;0.793;0.793;0.907;4.019;0.205;1;0.966;0.411;1;0.411;0.459;0.511;0.888;1;2;0.21976;0.00056;0;0;-;-;No Fluorophore;No Feed;1a;24
Negative Control;Blue/Green;0;0.869;0.843;0.783;0.783;0.895;0.115;6.941;0.959;0.994;0.58;0.626;0.889;0.453;0.534;0.88;0;1;3.9366;0.27068;0;0;-;-;No Fluorophore;No Feed;1a;25
Negative Control;Blue/Red;0;0.899;0.899;0.802;0.802;0.92;0.325;2.608;1;0.99;0.692;1;0.692;0.46;0.587;0.9;0;2;2.4929;0.00039;0;0;-;-;No Fluorophore;No Feed;1a;25
Negative Control;Green/Red;0;0.891;0.891;0.798;0.798;0.912;2.525;0.33;1;0.969;0.432;1;0.432;0.463;0.512;0.895;1;2;0.19389;0.00039;0;0;-;-;No Fluorophore;No Feed;1a;25
Negative Control;Blue/Green;0;0.861;0.861;0.654;0.654;0.876;0.116;6.625;1;1;1;1;1;0.437;0.605;0.863;0;1;0.04513;0.00022;0;0;-;-;No Fluorophore;No Feed;1a;26
Negative Control;Blue/Red;0;0.865;0.828;0.792;0.781;0.89;0.444;1.785;0.968;0.989;0.629;0.752;0.793;0.461;0.578;0.868;0;2;13.514;0.6924;0;0;-;-;No Fluorophore;No Feed;1a;26
Negative Control;Green/Red;0;0.882;0.882;0.802;0.802;0.903;2.944;0.277;1;0.969;0.332;1;0.332;0.467;0.539;0.887;1;2;0.17293;0.00039;0;0;-;-;No Fluorophore;No Feed;1a;26
Negative Control;Blue/Green;0;0.86;0.86;0.646;0.646;0.872;0.128;5.921;0.877;1;0.657;0.657;1;0.435;0.606;0.862;0;1;0.05245;0.00022;0;0;-;-;No Fluorophore;No Feed;1a;27
